starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:55:25 2021	1637250925	8	14	22	14
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	20
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	0	22	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	20
Thu Nov 18 23:55:26 2021	1637250926	0	22	22	22
Thu Nov 18 23:55:26 2021	1637250926	0	22	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	20
Thu Nov 18 23:55:26 2021	1637250926	2	20	22	20
Thu Nov 18 23:55:26 2021	1637250926	1	22	22	22
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	22	22	22
Thu Nov 18 23:55:26 2021	1637250926	1	22	22	21
Thu Nov 18 23:55:26 2021	1637250926	0	22	22	22
Thu Nov 18 23:55:26 2021	1637250926	0	22	22	22
Thu Nov 18 23:55:26 2021	1637250926	0	22	22	22
